classifier,Acc,Auc
LogisticRegression,0.7629846378931968,0.8366271174326347
DecisionTree,0.7571324067300659,0.7431250446715745
Random Forest,0.77542062911485,0.8405783182045601
GBT,0.7651792245793709,0.8423986848688437
